chrs,names,ids
chr1,DDX11L2,ENSG00000290825
chr1,DDX11L1,ENSG00000223972
chr1,WASH7P,ENSG00000227232
chr1,MIR6859-1,ENSG00000278267
chr1,MIR1302-2HG,ENSG00000243485
chr1,MIR1302-2,ENSG00000284332
chr1,FAM138A,ENSG00000237613
chr1,OR4G4P,ENSG00000268020
chr1,ENSG00000290826,ENSG00000290826
chr1,OR4G11P,ENSG00000240361
chr1,OR4F5,ENSG00000186092
chr1,ENSG00000238009,ENSG00000238009
chr1,ENSG00000239945,ENSG00000239945
chr1,CICP27,ENSG00000233750
chr1,ENSG00000268903,ENSG00000268903
chr1,ENSG00000269981,ENSG00000269981
chr1,ENSG00000239906,ENSG00000239906
chr1,ENSG00000241860,ENSG00000241860
chr1,RNU6-1100P,ENSG00000222623
chr1,ENSG00000241599,ENSG00000241599
chr1,DDX11L17,ENSG00000279928
chr1,WASH9P,ENSG00000279457
chr1,MIR6859-2,ENSG00000273874
chr1,ENSG00000228463,ENSG00000228463
chr1,ENSG00000286448,ENSG00000286448
chr1,RPL23AP24,ENSG00000236679
chr1,ENSG00000236601,ENSG00000236601
chr1,ENSG00000290385,ENSG00000290385
chr1,WBP1LP7,ENSG00000269732
chr1,OR4F29,ENSG00000284733
chr1,ENSG00000237094,ENSG00000237094
chr1,CICP7,ENSG00000233653
chr1,ENSG00000250575,ENSG00000250575
chr1,U6,ENSG00000278757
chr1,ENSG00000230021,ENSG00000230021
chr1,ENSG00000235146,ENSG00000235146
chr1,MTND1P23,ENSG00000225972
chr1,MTND2P28,ENSG00000225630
chr1,MTCO1P12,ENSG00000237973
chr1,ENSG00000278791,ENSG00000278791
chr1,MTCO2P12,ENSG00000229344
chr1,MTATP8P1,ENSG00000240409
chr1,MTATP6P1,ENSG00000248527
chr1,MTCO3P12,ENSG00000198744
chr1,WBP1LP6,ENSG00000268663
chr1,OR4F16,ENSG00000284662
chr1,CICP3,ENSG00000229376
chr1,ENSG00000291215,ENSG00000291215
chr1,RNU6-1199P,ENSG00000223181
chr1,ENSG00000229905,ENSG00000229905
chr1,ENSG00000228327,ENSG00000228327
chr1,LINC01409,ENSG00000237491
chr1,ENSG00000285268,ENSG00000285268
chr1,ENSG00000290784,ENSG00000290784
chr1,ENSG00000230092,ENSG00000230092
chr1,FAM87B,ENSG00000177757
chr1,LINC00115,ENSG00000225880
chr1,LINC01128,ENSG00000228794
chr1,ENSG00000288531,ENSG00000288531
